country_name,country_text_id,e_regiongeo,year,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem
Germany,DEU,1,1900,0.243,0.221,0.166,0.191,0.185
Germany,DEU,1,1901,0.242,0.222,0.167,0.19,0.176
Germany,DEU,1,1902,0.25,0.222,0.168,0.171,0.172
Germany,DEU,1,1903,0.245,0.219,0.169,0.177,0.171
Germany,DEU,1,1904,0.256,0.216,0.178,0.183,0.172
Germany,DEU,1,1905,0.253,0.21,0.176,0.181,0.172
Germany,DEU,1,1906,0.24,0.212,0.164,0.175,0.173
Germany,DEU,1,1907,0.256,0.227,0.167,0.18,0.174
Germany,DEU,1,1908,0.243,0.217,0.16,0.173,0.17
Germany,DEU,1,1909,0.249,0.215,0.179,0.177,0.188
Germany,DEU,1,1910,0.23,0.204,0.173,0.173,0.178
Germany,DEU,1,1911,0.246,0.222,0.181,0.178,0.179
Germany,DEU,1,1912,0.26,0.212,0.174,0.182,0.195
Germany,DEU,1,1913,0.258,0.222,0.179,0.182,0.195
Germany,DEU,1,1914,0.251,0.219,0.162,0.183,0.191
Germany,DEU,1,1915,0.244,0.212,0.155,0.155,0.183
Germany,DEU,1,1916,0.246,0.212,0.158,0.157,0.184
Germany,DEU,1,1917,0.254,0.209,0.17,0.175,0.189
Germany,DEU,1,1918,0.252,0.208,0.17,0.19,0.188
Germany,DEU,1,1919,0.435,0.329,0.266,0.291,0.321
Germany,DEU,1,1920,0.628,0.495,0.413,0.489,0.48
Germany,DEU,1,1921,0.609,0.5,0.405,0.491,0.469
Germany,DEU,1,1922,0.612,0.505,0.406,0.496,0.468
Germany,DEU,1,1923,0.615,0.502,0.406,0.506,0.467
Germany,DEU,1,1924,0.619,0.486,0.404,0.494,0.46
Germany,DEU,1,1925,0.64,0.487,0.408,0.517,0.475
Germany,DEU,1,1926,0.605,0.465,0.428,0.51,0.441
Germany,DEU,1,1927,0.605,0.465,0.428,0.51,0.441
Germany,DEU,1,1928,0.584,0.452,0.394,0.483,0.434
Germany,DEU,1,1929,0.566,0.447,0.384,0.47,0.424
Germany,DEU,1,1930,0.564,0.43,0.384,0.441,0.427
Germany,DEU,1,1931,0.593,0.472,0.405,0.451,0.419
Germany,DEU,1,1932,0.563,0.43,0.377,0.436,0.407
Germany,DEU,1,1933,0.312,0.089,0.198,0.094,0.226
Germany,DEU,1,1934,0.111,0.021,0.044,0.018,0.12
Germany,DEU,1,1935,0.074,0.017,0.038,0.018,0.112
Germany,DEU,1,1936,0.091,0.017,0.041,0.02,0.115
